,Country
0,Canada
1,Mexico
2,USA
3,Australia
4,Iraq
5,Iran
6,Japan
7,Jordan
8,South Korea
9,Qatar
10,Saudi Arabia
11,Uzbekistan
12,Algeria
13,Cape Verde
14,Democratic Republic of the Congo
15,Ivory Coast
16,Egypt
17,Ghana
18,Morocco
19,Senegal
20,South Africa
21,Tunisia
22,Curaçao
23,Haiti
24,Panama
25,Argentina
26,Brazil
27,Colombia
28,Ecuador
29,Paraguay
30,Uruguay
31,New Zealand
32,Austria
33,Belgium
34,Bosnia and Herzegovina
35,Croatia
36,Czech Republic
37,England
38,France
39,Germany
40,Netherlands
41,Norway
42,Portugal
43,Scotland
44,Spain
45,Sweden
46,Switzerland
47,Turkey
